,Year,Rank,Song,Artist
471,2010,72,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift
472,2010,73,My First Kiss,3OH!3 Featuring Ke$ha
473,2010,74,Already Gone,Kelly Clarkson
474,2010,75,Rock That Body,The Black Eyed Peas
475,2010,76,Secrets,OneRepublic
476,2010,77,Naturally,Selena Gomez & The Scene
477,2010,78,Un-Thinkable (I'm Ready),Alicia Keys
478,2010,79,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross"
479,2010,80,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne"
480,2010,81,Stuck Like Glue,Sugarland
481,2010,82,Hey Daddy (Daddy's Home),Usher Featuring Plies
482,2010,83,There Goes My Baby,Usher
483,2010,84,Today Was A Fairytale,Taylor Swift
484,2010,85,Say Something,Timbaland Featuring Drake
485,2010,86,Sweet Dreams,Beyonce
486,2010,87,Use Somebody,Kings Of Leon
487,2010,88,Undo It,Carrie Underwood
488,2010,89,Eenie Meenie,Sean Kingston & Justin Bieber
489,2010,90,Right Above It,Lil Wayne Featuring Drake
490,2010,91,The House That Built Me,Miranda Lambert
491,2010,92,If I Die Young,The Band Perry
492,2010,93,The Only Exception,Paramore
493,2010,94,American Honey,Lady Antebellum
494,2010,95,King Of Anything,Sara Bareilles
495,2010,96,Life After You,Daughtry
496,2010,97,Smile,Uncle Kracker
497,2010,98,Teach Me How To Dougie,Cali Swag District
498,2010,99,Try Sleeping With A Broken Heart,Alicia Keys
499,2010,100,"Lover, Lover",Jerrod Niemann
500,2011,1,Rolling In The Deep,Adele
501,2011,2,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
502,2011,3,Firework,Katy Perry
503,2011,4,E.T.,Katy Perry Featuring Kanye West
504,2011,5,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
505,2011,6,Grenade,Bruno Mars
506,2011,7,F**k You (Forget You),CeeLo Green
507,2011,8,Super Bass,Nicki Minaj
508,2011,9,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
509,2011,10,Just Can't Get Enough,The Black Eyed Peas
510,2011,11,On The Floor,Jennifer Lopez Featuring Pitbull
511,2011,12,S&M,Rihanna
512,2011,13,Pumped Up Kicks,Foster The People
513,2011,14,Last Friday Night (T.G.I.F.),Katy Perry
514,2011,15,Just The Way You Are,Bruno Mars
515,2011,16,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E
516,2011,17,Raise Your Glass,P!nk
517,2011,18,Born This Way,Lady Gaga
518,2011,19,F**kin' Perfect,P!nk
519,2011,20,What's My Name?,Rihanna Featuring Drake
520,2011,21,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
521,2011,22,Down On Me,Jeremih Featuring 50 Cent
522,2011,23,How To Love,Lil Wayne
523,2011,24,Someone Like You,Adele
524,2011,25,Good Life,OneRepublic
525,2011,26,The Lazy Song,Bruno Mars
526,2011,27,Till The World Ends,Britney Spears
527,2011,28,The Show Goes On,Lupe Fiasco
528,2011,29,The Edge Of Glory,Lady Gaga
529,2011,30,We R Who We R,Ke$ha
530,2011,31,Black And Yellow,Wiz Khalifa
531,2011,32,Tonight Tonight,Hot Chelle Rae
532,2011,33,Blow,Ke$ha
533,2011,34,Lighters,Bad Meets Evil Featuring Bruno Mars
534,2011,35,If I Die Young,The Band Perry
535,2011,36,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
536,2011,37,The Time (Dirty Bit),The Black Eyed Peas
537,2011,38,Coming Home,Diddy - Dirty Money Featuring Skylar Grey
538,2011,39,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
539,2011,40,Only Girl (In The World),Rihanna
540,2011,41,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
541,2011,42,Just A Kiss,Lady Antebellum
542,2011,43,Dirt Road Anthem,Jason Aldean
543,2011,44,Dynamite,Taio Cruz
544,2011,45,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
545,2011,46,I Wanna Go,Britney Spears
546,2011,47,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
547,2011,48,You Make Me Feel...,Cobra Starship Featuring Sabi
548,2011,49,Yeah 3X,Chris Brown
549,2011,50,Moment 4 Life,Nicki Minaj Featuring Drake
550,2011,51,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey
551,2011,52,Just A Dream,Nelly
552,2011,53,Motivation,Kelly Rowland Featuring Lil Wayne
553,2011,54,Stereo Love,Edward Maya & Vika Jigulina
554,2011,55,Jar Of Hearts,Christina Perri
555,2011,56,Roll Up,Wiz Khalifa
556,2011,57,Sexy And I Know It,LMFAO
557,2011,58,Rocketeer,Far*East Movement Featuring Ryan Tedder
558,2011,59,All Of The Lights,Kanye West
559,2011,60,Hold It Against Me,Britney Spears
560,2011,61,More,Usher
561,2011,62,What The Hell,Avril Lavigne
562,2011,63,Written In The Stars,Tinie Tempah Featuring Eric Turner
563,2011,64,Bottoms Up,Trey Songz Featuring Nicki Minaj
564,2011,65,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
565,2011,66,For The First Time,The Script
566,2011,67,Honey Bee,Blake Shelton
567,2011,68,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
568,2011,69,We Found Love,Rihanna Featuring Calvin Harris
569,2011,70,Pretty Girl Rock,Keri Hilson
570,2011,71,You And I,Lady Gaga
571,2011,72,Like A G6,Far*East Movement Featuring Cataracs & Dev
572,2011,73,Without You,David Guetta Featuring Usher
573,2011,74,Back To December,Taylor Swift
574,2011,75,Teenage Dream,Katy Perry
575,2011,76,Crazy Girl,Eli Young Band
576,2011,77,Cheers (Drink To That),Rihanna
577,2011,78,Who Says,Selena Gomez & The Scene
578,2011,79,Barefoot Blue Jean Night,Jake Owen
579,2011,80,Knee Deep,Zac Brown Band Featuring Jimmy Buffett
580,2011,81,Country Girl (Shake It For Me),Luke Bryan
581,2011,82,Remind Me,Brad Paisley Duet With Carrie Underwood
582,2011,83,In The Dark,Dev
583,2011,84,Backseat,New Boyz Featuring The Cataracs & Dev
584,2011,85,Headlines,Drake
585,2011,86,Best Thing I Never Had,Beyonce
586,2011,87,Don't Wanna Go Home,Jason Derulo
587,2011,88,Where Them Girls At,David Guetta Featuring Flo Rida & Nicki Minaj
588,2011,89,She Ain't You,Chris Brown
589,2011,90,Take A Back Road,Rodney Atkins
590,2011,91,Please Don't Go,Mike Posner
591,2011,92,Sure Thing,Miguel
592,2011,93,Price Tag,Jessie J Featuring B.o.B
593,2011,94,God Gave Me You,Blake Shelton
594,2011,95,She Will,Lil Wayne Featuring Drake
595,2011,96,Are You Gonna Kiss Me Or Not,Thompson Square
596,2011,97,Animal,Neon Trees
597,2011,98,You And Tequila,Kenny Chesney Featuring Grace Potter
598,2011,99,Colder Weather,Zac Brown Band
599,2011,100,My Last,Big Sean Featuring Chris Brown
600,2012,1,Somebody That I Used To Know,Gotye Featuring Kimbra
601,2012,2,Call Me Maybe,Carly Rae Jepsen
602,2012,3,We Are Young,fun. Featuring Janelle Monae
603,2012,4,Payphone,Maroon 5 Featuring Wiz Khalifa
604,2012,5,Lights,Ellie Goulding
605,2012,6,Glad You Came,The Wanted
606,2012,7,Stronger (What Doesn't Kill You),Kelly Clarkson
607,2012,8,We Found Love,Rihanna Featuring Calvin Harris
608,2012,9,Starships,Nicki Minaj
609,2012,10,What Makes You Beautiful,One Direction
610,2012,11,Wild Ones,Flo Rida Featuring Sia
611,2012,12,Set Fire To The Rain,Adele
612,2012,13,Sexy And I Know It,LMFAO
613,2012,14,Some Nights,fun.
614,2012,15,Wide Awake,Katy Perry
615,2012,16,Good Feeling,Flo Rida
616,2012,17,Whistle,Flo Rida
617,2012,18,One More Night,Maroon 5
618,2012,19,Drive By,Train
619,2012,20,The Motto,Drake Featuring Lil Wayne
620,2012,21,Where Have You Been,Rihanna
621,2012,22,Everybody Talks,Neon Trees
622,2012,23,Take Care,Drake Featuring Rihanna
623,2012,24,Titanium,David Guetta Featuring Sia
624,2012,25,I Won't Give Up,Jason Mraz
625,2012,26,It Will Rain,Bruno Mars
626,2012,27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
627,2012,28,Boyfriend,Justin Bieber
628,2012,29,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
629,2012,30,Too Close,Alex Clare
630,2012,31,Part Of Me,Katy Perry
631,2012,32,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
632,2012,33,We Are Never Ever Getting Back Together,Taylor Swift
633,2012,34,As Long As You Love Me,Justin Bieber Featuring Big Sean
634,2012,35,Turn Me On,David Guetta Featuring Nicki Minaj
635,2012,36,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
636,2012,37,Blow Me (One Last Kiss),P!nk
637,2012,38,Good Time,Owl City & Carly Rae Jepsen
638,2012,39,Give Your Heart A Break,Demi Lovato
639,2012,40,Ni**as in Paris,Jay Z Kanye West
640,2012,41,The One That Got Away,Katy Perry
641,2012,42,Feel So Close,Calvin Harris
642,2012,43,Someone Like You,Adele
643,2012,44,Scream,Usher
644,2012,45,Rack City,Tyga
645,2012,46,Domino,Jessie J
646,2012,47,Gangnam Style,PSY
647,2012,48,International Love,Pitbull Featuring Chris Brown
648,2012,49,Home,Phillip Phillips
649,2012,50,Without You,David Guetta Featuring Usher
650,2012,51,Ass Back Home,Gym Class Heroes Featuring Neon Hitch
651,2012,52,Wanted,Hunter Hayes
652,2012,53,Drunk On You,Luke Bryan
653,2012,54,No Lie,2 Chainz Featuring Drake
654,2012,55,Want U Back,Cher Lloyd
655,2012,56,Don't Wake Me Up,Chris Brown
656,2012,57,Dance (A$$),Big Sean Featuring Nicki Minaj
657,2012,58,Springsteen,Eric Church
658,2012,59,Brokenhearted,Karmin
659,2012,60,Not Over You,Gavin DeGraw
660,2012,61,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
661,2012,62,Back In Time,Pitbull
662,2012,63,Work Out,J. Cole
663,2012,64,Rumour Has It,Adele
664,2012,65,Let's Go,Calvin Harris Featuring Ne-Yo
665,2012,66,Good Girl,Carrie Underwood
666,2012,67,Pontoon,Little Big Town
667,2012,68,Ho Hey,The Lumineers
668,2012,69,Paradise,Coldplay
669,2012,70,Blown Away,Carrie Underwood
670,2012,71,Rolling In The Deep,Adele
671,2012,72,Climax,Usher
672,2012,73,"Work Hard, Play Hard",Wiz Khalifa
673,2012,74,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
674,2012,75,Pound The Alarm,Nicki Minaj
675,2012,76,Come Over,Kenny Chesney
676,2012,77,Heart Attack,Trey Songz
677,2012,78,Drank In My Cup,Kirko Bangz
678,2012,79,Birthday Cake,Rihanna Featuring Chris Brown
679,2012,80,So Good,B.o.B
680,2012,81,50 Ways To Say Goodbye,Train
681,2012,82,Red Solo Cup,Toby Keith
682,2012,83,Love You Like A Love Song,Selena Gomez & The Scene
683,2012,84,Turn Up The Music,Chris Brown
684,2012,85,Die Young,Ke$ha
685,2012,86,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
686,2012,87,A Thousand Years,Christina Perri
687,2012,88,Take A Little Ride,Jason Aldean
688,2012,89,You Da One,Rihanna
689,2012,90,We Run The Night,Havana Brown Featuring Pitbull
690,2012,91,It's Time,Imagine Dragons
691,2012,92,Cashin' Out,Ca$h Out
692,2012,93,I Don't Want This Night To End,Luke Bryan
693,2012,94,Diamonds,Rihanna
694,2012,95,Hard To Love,Lee Brice
695,2012,96,Somethin' 'Bout A Truck,Kip Moore
696,2012,97,Adorn,Miguel
697,2012,98,Fly Over States,Jason Aldean
698,2012,99,Even If It Breaks Your Heart,Eli Young Band
699,2012,100,Burn It Down,Linkin Park
700,2013,1,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
701,2013,2,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
702,2013,3,Radioactive,Imagine Dragons
703,2013,4,Harlem Shake,Baauer
704,2013,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
705,2013,6,Mirrors,Justin Timberlake
706,2013,7,Just Give Me A Reason,P!nk Featuring Nate Ruess
707,2013,8,When I Was Your Man,Bruno Mars
708,2013,9,Cruise,Florida Georgia Line Featuring Nelly
709,2013,10,Roar,Katy Perry
710,2013,11,Locked Out Of Heaven,Bruno Mars
711,2013,12,Ho Hey,The Lumineers
712,2013,13,Stay,Rihanna Featuring Mikky Ekko
713,2013,14,Get Lucky,Daft Punk Featuring Pharrell Williams
714,2013,15,Royals,Lorde
715,2013,16,I Knew You Were Trouble.,Taylor Swift
716,2013,17,We Can't Stop,Miley Cyrus
717,2013,18,Wrecking Ball,Miley Cyrus
718,2013,19,Wake Me Up!,Avicii
719,2013,20,Suit & Tie,Justin Timberlake Featuring JAY Z
720,2013,21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
721,2013,22,Holy Grail,Jay Z Featuring Justin Timberlake
722,2013,23,Scream & Shout,will.i.am & Britney Spears
723,2013,24,Clarity,Zedd Featuring Foxes
724,2013,25,Sail,AWOLNATION
725,2013,26,Don't You Worry Child,Swedish House Mafia Featuring John Martin
726,2013,27,Diamonds,Rihanna
727,2013,28,I Love It,Icona Pop Featuring Charli XCX
728,2013,29,Safe And Sound,Capital Cities
729,2013,30,Treasure,Bruno Mars
730,2013,31,The Way,Ariana Grande Featuring Mac Miller
731,2013,32,Started From The Bottom,Drake
732,2013,33,Come & Get It,Selena Gomez
733,2013,34,"Hold On, We're Going Home",Drake Featuring Majid Jordan
734,2013,35,Daylight,Maroon 5
735,2013,36,Feel This Moment,Pitbull Featuring Christina Aguilera
736,2013,37,Applause,Lady Gaga
737,2013,38,One More Night,Maroon 5
738,2013,39,Love Me,Lil Wayne Featuring Drake & Future
739,2013,40,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
740,2013,41,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"
741,2013,42,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
742,2013,43,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
743,2013,44,Sweet Nothing,Calvin Harris Featuring Florence Welch
744,2013,45,Summertime Sadness,Lana Del Rey & Cedric Gervais
745,2013,46,Home,Phillip Phillips
746,2013,47,It's Time,Imagine Dragons
747,2013,48,Power Trip,J. Cole Featuring Miguel
748,2013,49,Girl On Fire,Alicia Keys Featuring Nicki Minaj
749,2013,50,Heart Attack,Demi Lovato
750,2013,51,Love Somebody,Maroon 5
751,2013,52,I Will Wait,Mumford & Sons
752,2013,53,Try,P!nk
753,2013,54,Wagon Wheel,Darius Rucker
754,2013,55,Gangnam Style,PSY
755,2013,56,I Need Your Love,Calvin Harris Featuring Ellie Goulding
756,2013,57,Die Young,Ke$ha
757,2013,58,Some Nights,fun.
758,2013,59,Bad,Wale Featuring Tiara Thomas Or Rihanna
759,2013,60,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends
760,2013,61,"Gone, Gone, Gone",Phillip Phillips
761,2013,62,Demons,Imagine Dragons
762,2013,63,Counting Stars,OneRepublic
763,2013,64,I Cry,Flo Rida
764,2013,65,Little Talks,Of Monsters And Men
765,2013,66,The Other Side,Jason Derulo
766,2013,67,Berzerk,Eminem
767,2013,68,Catch My Breath,Kelly Clarkson
768,2013,69,Crash My Party,Luke Bryan
769,2013,70,Pour It Up,Rihanna
770,2013,71,22,Taylor Swift
771,2013,72,I Want Crazy,Hunter Hayes
772,2013,73,The Fox,Ylvis
773,2013,74,Best Song Ever,One Direction
774,2013,75,The A Team,Ed Sheeran
775,2013,76,Carry On,fun.
776,2013,77,Highway Don't Care,Tim McGraw With Taylor Swift
777,2013,78,That's My Kind Of Night,Luke Bryan
778,2013,79,Swimming Pools (Drank),Kendrick Lamar
779,2013,80,Sure Be Cool If You Did,Blake Shelton
780,2013,81,#Beautiful,Mariah Carey Featuring Miguel
781,2013,82,Troublemaker,Olly Murs Featuring Flo Rida
782,2013,83,Body Party,Ciara
783,2013,84,Adorn,Miguel
784,2013,85,Hall Of Fame,The Script Featuring will.i.am
785,2013,86,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo
786,2013,87,U.O.E.N.O.,Rocko Featuring Future & Rick Ross
787,2013,88,Next To Me,Emeli Sande
788,2013,89,Mama's Broken Heart,Miranda Lambert
789,2013,90,It Goes Like This,Thomas Rhett
790,2013,91,Bugatti,Ace Hood Featuring Future & Rick Ross
791,2013,92,Wanted,Hunter Hayes
792,2013,93,Downtown,Lady Antebellum
793,2013,94,Get Your Shine On,Florida Georgia Line
794,2013,95,#thatPOWER,will.i.am Featuring Justin Bieber
795,2013,96,Brave,Sara Bareilles
796,2013,97,Let Her Go,Passenger
797,2013,98,Runnin' Outta Moonlight,Randy Houser
798,2013,99,I'm Different,2 Chainz
799,2013,100,Still Into You,Paramore
800,2014,1,Happy,Pharrell Williams
801,2014,2,Dark Horse,Katy Perry Featuring Juicy J
802,2014,3,All Of Me,John Legend
803,2014,4,Fancy,Iggy Azalea Featuring Charli XCX
804,2014,5,Counting Stars,OneRepublic
805,2014,6,Talk Dirty,Jason Derulo Featuring 2 Chainz
806,2014,7,Rude,MAGIC!
807,2014,8,All About That Bass,Meghan Trainor
808,2014,9,Problem,Ariana Grande Featuring Iggy Azalea
809,2014,10,Stay With Me,Sam Smith
810,2014,11,Timber,Pitbull Featuring Ke$ha
811,2014,12,Pompeii,Bastille
812,2014,13,Shake It Off,Taylor Swift
813,2014,14,Am I Wrong,Nico & Vinz
814,2014,15,Turn Down For What,DJ Snake & Lil Jon
815,2014,16,The Monster,Eminem Featuring Rihanna
816,2014,17,Say Something,A Great Big World & Christina Aguilera
817,2014,18,Team,Lorde
818,2014,19,Let Her Go,Passenger
819,2014,20,Royals,Lorde
820,2014,21,Let It Go,Idina Menzel
821,2014,22,Wake Me Up!,Avicii
822,2014,23,Demons,Imagine Dragons
823,2014,24,Story Of My Life,One Direction
824,2014,25,Chandelier,Sia
825,2014,26,Black Widow,Iggy Azalea Featuring Rita Ora
826,2014,27,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
827,2014,28,Latch,Disclosure Featuring Sam Smith
828,2014,29,Maps,Maroon 5
829,2014,30,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
830,2014,31,Best Day Of My Life,American Authors
831,2014,32,Habits (Stay High),Tove Lo
832,2014,33,Summer,Calvin Harris
833,2014,34,Boom Clap,Charli XCX
834,2014,35,Drunk In Love,Beyonce Featuring Jay Z
835,2014,36,Anaconda,Nicki Minaj
836,2014,37,Break Free,Ariana Grande Featuring Zedd
837,2014,38,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
838,2014,39,Burn,Ellie Goulding
839,2014,40,Wiggle,Jason Derulo Featuring Snoop Dogg
840,2014,41,Rather Be,Clean Bandit Featuring Jess Glynne
841,2014,42,Don't Tell 'Em,Jeremih Featuring YG
842,2014,43,Show Me,Kid Ink Featuring Chris Brown
843,2014,44,Wrecking Ball,Miley Cyrus
844,2014,45,Not A Bad Thing,Justin Timberlake
845,2014,46,Roar,Katy Perry
846,2014,47,Ain't It Fun,Paramore
847,2014,48,The Man,Aloe Blacc
848,2014,49,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan
849,2014,50,Classic,MKTO
850,2014,51,A Sky Full Of Stars,Coldplay
851,2014,52,Don't,Ed Sheeran
852,2014,53,Na Na,Trey Songz
853,2014,54,Hot Boy,Bobby Shmurda
854,2014,55,"Hold On, We're Going Home",Drake Featuring Majid Jordan
855,2014,56,Sing,Ed Sheeran
856,2014,57,Radioactive,Imagine Dragons
857,2014,58,My Hitta,YG Featuring Jeezy & Rich Homie Quan
858,2014,59,Cool Kids,Echosmith
859,2014,60,Hey Brother,Avicii
860,2014,61,Trumpets,Jason Derulo
861,2014,62,Animals,Maroon 5
862,2014,63,Burnin' It Down,Jason Aldean
863,2014,64,Play It Again,Luke Bryan
864,2014,65,2 On,Tinashe Featuring ScHoolboy Q
865,2014,66,Dirt,Florida Georgia Line
866,2014,67,Love Runs Out,OneRepublic
867,2014,68,Bottoms Up,Brantley Gilbert
868,2014,69,Shower,Becky G
869,2014,70,Me And My Broken Heart,Rixton
870,2014,71,Animals,Martin Garrix
871,2014,72,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan
872,2014,73,American Kids,Kenny Chesney
873,2014,74,Brave,Sara Bareilles
874,2014,75,Sweater Weather,The Neighbourhood
875,2014,76,Leave The Night On,Sam Hunt
876,2014,77,New Flame,Chris Brown Featuring Usher & Rick Ross
877,2014,78,Love Never Felt So Good,Michael Jackson & Justin Timberlake
878,2014,79,Drunk On A Plane,Dierks Bentley
879,2014,80,Birthday,Katy Perry
880,2014,81,Bartender,Lady Antebellum
881,2014,82,La La La,Naughty Boy Featuring Sam Smith
882,2014,83,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
883,2014,84,Do What U Want,Lady Gaga Featuring R. Kelly
884,2014,85,Can't Remember To Forget You,Shakira Featuring Rihanna
885,2014,86,Amnesia,5 Seconds Of Summer
886,2014,87,No Mediocre,T.I. Featuring Iggy Azalea
887,2014,88,Come With Me Now,KONGOS
888,2014,89,Believe Me,Lil Wayne Featuring Drake
889,2014,90,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J"
890,2014,91,Beachin',Jake Owen
891,2014,92,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
892,2014,93,She Looks So Perfect,5 Seconds Of Summer
893,2014,94,Stay The Night,Zedd Featuring Hayley Williams
894,2014,95,Partition,Beyonce
895,2014,96,Studio,ScHoolboy Q Featuring BJ The Chicago Kid
896,2014,97,0 To 100 / The Catch Up,Drake
897,2014,98,I Don't Dance,Lee Brice
898,2014,99,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood
899,2014,100,Adore You,Miley Cyrus
900,2015,1,Uptown Funk!,Mark Ronson Featuring Bruno Mars
901,2015,2,Thinking Out Loud,Ed Sheeran
902,2015,3,See You Again,Wiz Khalifa Featuring Charlie Puth
903,2015,4,Trap Queen,Fetty Wap
904,2015,5,Sugar,Maroon 5
905,2015,6,Shut Up And Dance,WALK THE MOON
906,2015,7,Blank Space,Taylor Swift
907,2015,8,Watch Me,Silento
908,2015,9,Earned It (Fifty Shades Of Grey),The Weeknd
909,2015,10,The Hills,The Weeknd
910,2015,11,Cheerleader,OMI
911,2015,12,Can't Feel My Face,The Weeknd
912,2015,13,Love Me Like You Do,Ellie Goulding
913,2015,14,Take Me To Church,Hozier
914,2015,15,Bad Blood,Taylor Swift Featuring Kendrick Lamar
915,2015,16,Lean On,Major Lazer & DJ Snake Featuring MO
916,2015,17,Want To Want Me,Jason Derulo
917,2015,18,Shake It Off,Taylor Swift
918,2015,19,Where Are U Now,Skrillex & Diplo With Justin Bieber
919,2015,20,Fight Song,Rachel Platten
920,2015,21,679,Fetty Wap Featuring Remy Boyz
921,2015,22,Lips Are Movin,Meghan Trainor
922,2015,23,Worth It,Fifth Harmony Featuring Kid Ink
923,2015,24,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
924,2015,25,"Honey, I'm Good.",Andy Grammer
925,2015,26,I'm Not The Only One,Sam Smith
926,2015,27,Good For You,Selena Gomez Featuring A$AP Rocky
927,2015,28,All About That Bass,Meghan Trainor
928,2015,29,Style,Taylor Swift
929,2015,30,Hotline Bling,Drake
930,2015,31,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
931,2015,32,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
932,2015,33,What Do You Mean?,Justin Bieber
933,2015,34,Photograph,Ed Sheeran
934,2015,35,Hello,Adele
935,2015,36,Stitches,Shawn Mendes
936,2015,37,Talking Body,Tove Lo
937,2015,38,Jealous,Nick Jonas
938,2015,39,Time Of Our Lives,Pitbull & Ne-Yo
939,2015,40,Locked Away,R. City Featuring Adam Levine
940,2015,41,Somebody,Natalie La Rose Featuring Jeremih
941,2015,42,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney
942,2015,43,Centuries,Fall Out Boy
943,2015,44,My Way,Fetty Wap Featuring Monty
944,2015,45,Take Your Time,Sam Hunt
945,2015,46,Animals,Maroon 5
946,2015,47,I Don't F**k With You,Big Sean Featuring E-40
947,2015,48,B**** Better Have My Money,Rihanna
948,2015,49,Flex (Ooh Ooh Ooh),Rich Homie Quan
949,2015,50,Nasty Freestyle,T-Wayne
950,2015,51,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown"
951,2015,52,Elastic Heart,Sia
952,2015,53,Cool For The Summer,Demi Lovato
953,2015,54,Renegades,X Ambassadors
954,2015,55,I Don't Mind,Usher Featuring Juicy J
955,2015,56,Love Me Harder,Ariana Grande & The Weeknd
956,2015,57,Wildest Dreams,Taylor Swift
957,2015,58,Stay With Me,Sam Smith
958,2015,59,You Know You Like It,DJ Snake & AlunaGeorge
959,2015,60,Uma Thurman,Fall Out Boy
960,2015,61,7/11,Beyonce
961,2015,62,The Heart Wants What It Wants,Selena Gomez
962,2015,63,Girl Crush,Little Big Town
963,2015,64,Slow Motion,Trey Songz
964,2015,65,Drag Me Down,One Direction
965,2015,66,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne
966,2015,67,One Last Time,Ariana Grande
967,2015,68,Chains,Nick Jonas
968,2015,69,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
969,2015,70,No Type,Rae Sremmurd
970,2015,71,Riptide,Vance Joy
971,2015,72,Classic Man,Jidenna Featuring Roman GianArthur
972,2015,73,Ex's & Oh's,Elle King
973,2015,74,Dear Future Husband,Meghan Trainor
974,2015,75,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
975,2015,76,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
976,2015,77,Habits (Stay High),Tove Lo
977,2015,78,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence
978,2015,79,CoCo,O.T. Genasis
979,2015,80,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
980,2015,81,Lay Me Down,Sam Smith
981,2015,82,Tuesday,I LOVE MAKONNEN Featuring Drake
982,2015,83,Hit The Quan,iLoveMemphis
983,2015,84,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
984,2015,85,House Party,Sam Hunt
985,2015,86,Ayo,Chris Brown & Tyga
986,2015,87,Kick The Dust Up,Luke Bryan
987,2015,88,Blessings,Big Sean Featuring Drake
988,2015,89,Budapest,George Ezra
989,2015,90,Chandelier,Sia
990,2015,91,Heartbeat Song,Kelly Clarkson
991,2015,92,Don't,Ed Sheeran
992,2015,93,Ghost,Ella Henderson
993,2015,94,Here,Alessia Cara
994,2015,95,Waves,Mr. Probz
995,2015,96,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
996,2015,97,She Knows,Ne-Yo Featuring Juicy J
997,2015,98,Night Changes,One Direction
998,2015,99,Back To Back,Drake
999,2015,100,How Deep Is Your Love,Calvin Harris & Disciples
1000,2016,1,Love Yourself,Justin Bieber
1001,2016,2,Sorry,Justin Bieber
1002,2016,3,One Dance,Drake Featuring WizKid & Kyla
1003,2016,4,Work,Rihanna Featuring Drake
1004,2016,5,Stressed Out,twenty one pilots
1005,2016,6,Panda,Desiigner
1006,2016,7,Hello,Adele
1007,2016,8,Don't Let Me Down,The Chainsmokers Featuring Daya
1008,2016,9,Can't Stop The Feeling!,Justin Timberlake
1009,2016,10,Closer,The Chainsmokers Featuring Halsey
